top30_rank,fund_id,scheme_name,amc_name,category,sub_category,risk_level,risk_cluster_label,cluster,rating,fund_manager,returns_1yr,returns_3yr,returns_5yr,composite_return,net_return,expense_ratio,sharpe,alpha,beta,std_dev,rari,fund_size_cr,fund_size_category,min_sip,min_lumpsum,investment_score,return_consistency,rank_by_score,rank_by_return,rank_by_sharpe,is_top30
1,604,Quant Infrastructure Fund,Quant Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,📈 High Return / Moderate Risk,0,5,Vasav Sahgal,5.6,61.5,21.1,32.14,31.5,0.64,2.3,27.24,0.53,19.24,1.6704781704781706,822.0,Mid (500–5K Cr),1000,5000,73.7,44.63384585603188,1,2,4,True
2,609,Quant Small Cap Fund,Quant Mutual Fund,Equity,Small Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,5,Sanjeev Sharma,5.4,71.4,23.2,36.51,35.87,0.64,2.11,19.16,0.99,24.75,1.475151515151515,3301.0,Mid (500–5K Cr),1000,5000,73.14,39.34639563778892,2,1,15,True
3,610,Quant Tax Plan- Direct Growth,Quant Mutual Fund,Equity,ELSS Mutual Funds,6,📈 High Return / Moderate Risk,0,5,Vasav Sahgal,0.9,54.9,22.2,29.385,28.815,0.57,2.03,17.63,0.96,19.74,1.4886018237082066,2779.0,Mid (500–5K Cr),500,500,66.61,46.29351685511334,3,3,26,True
4,608,Quant Multi Asset Fund,Quant Mutual Fund,Hybrid,Multi Asset Allocation Mutual Funds,6,📈 High Return / Moderate Risk,0,5,Vasav Sahgal,10.6,42.6,20.5,26.255000000000003,25.695000000000004,0.56,1.79,19.52,0.75,18.63,1.409286097691895,634.0,Mid (500–5K Cr),1000,5000,63.9,57.11031336628148,4,7,91,True
5,602,Quant Flexi Cap Fund,Quant Mutual Fund,Equity,Flexi Cap Funds,6,📈 High Return / Moderate Risk,0,5,Vasav Sahgal,6.8,47.7,18.2,26.245,25.665,0.58,1.94,15.93,0.91,19.16,1.3697807933194153,1044.0,Mid (500–5K Cr),1000,5000,62.98,52.38638314867675,5,8,40,True
6,600,Quant Absolute Fund,Quant Mutual Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,📈 High Return / Moderate Risk,0,5,Sanjeev Sharma,7.3,38.2,19.1,23.425000000000004,22.86500000000001,0.56,2.12,16.98,0.73,14.41,1.625607217210271,1013.0,Mid (500–5K Cr),1000,5000,62.42,57.90027902177863,6,17,13,True
7,607,Quant Mid Cap Fund,Quant Mutual Fund,Equity,Mid Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,5,Sanjeev Sharma,8.8,45.1,19.8,26.455,25.825000000000003,0.63,1.95,11.21,0.86,18.73,1.4124399359316604,1550.0,Mid (500–5K Cr),1000,5000,61.37,54.87980748276708,7,6,37,True
8,624,SBI Contra Fund,SBI Mutual Fund,Equity,Contra Funds,6,📈 High Return / Moderate Risk,0,5,Dinesh Balachandran,15.0,43.4,15.6,25.21,24.3,0.91,2.13,15.26,0.89,16.56,1.522342995169082,8340.0,Large (5K–20K Cr),500,5000,61.35,57.2670169569633,8,10,12,True
9,742,Tata Small Cap Fund,Tata Mutual Fund,Equity,Small Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,4,Chandraprakash Padiyar,17.1,44.1,8.9,22.86,22.6,0.26,2.12,11.28,0.77,17.43,1.3115318416523236,3300.0,Mid (500–5K Cr),150,5000,61.29,55.07558796449674,9,19,13,True
10,601,Quant Active Fund,Quant Mutual Fund,Equity,Multi Cap Funds,6,📈 High Return / Moderate Risk,0,0,Sanjeev Sharma,1.0,45.5,19.9,25.08,24.5,0.58,1.87,13.82,0.97,19.65,1.2763358778625955,3531.0,Mid (500–5K Cr),1000,5000,60.65,51.15942756565434,10,11,66,True
