amc_name,fund_count,avg_composite_ret,avg_expense_ratio,avg_score,total_aum_cr,top50_count,amc_id
Aditya Birla Sun Life Mutual Fund,49,10.126,0.781,36.931,227218.0,0,1
Axis Mutual Fund,35,8.995,0.464,35.925,221203.0,1,2
Bandhan Mutual Fund,2,7.432,0.235,37.825,302.0,0,3
Bank of India Mutual Fund,15,12.952,1.212,36.797,2839.0,0,4
Baroda BNP Paribas Mutual Fund,24,9.131,0.638,36.039,19782.0,0,5
Canara Robeco Mutual Fund,18,10.828,0.555,40.521,57929.0,1,6
DSP Mutual Fund,35,10.509,0.686,39.061,107188.0,0,7
Edelweiss Mutual Fund,20,11.436,0.618,44.008,31947.0,2,8
Franklin Templeton Mutual Fund,26,12.462,0.777,44.767,61666.0,3,9
HDFC Mutual Fund,38,12.311,0.696,45.943,418426.0,3,10
HSBC Mutual Fund,35,10.149,0.72,37.891,78307.4,1,11
ICICI Prudential Mutual Fund,57,13.34,0.792,48.134,445257.0,7,12
IDBI Mutual Fund,18,11.066,1.008,36.758,3276.77,0,13
IIFL Mutual Fund,3,9.872,0.457,39.067,4511.0,0,14
ITI Mutual Fund,9,10.088,0.223,40.954,1890.04,0,15
Indiabulls Mutual Fund,9,8.271,0.616,32.388,486.71,0,16
Invesco Mutual Fund,27,10.472,0.559,40.922,41738.0,0,17
JM Financial Mutual Fund,11,10.565,1.059,35.797,2284.0,0,18
Kotak Mahindra Mutual Fund,32,11.411,0.479,45.318,255952.0,3,19
L&T Mutual Fund,2,16.948,1.29,46.015,1703.0,0,20
LIC Mutual Fund,20,9.193,0.82,32.398,13281.0,0,21
Mahindra Manulife Mutual Fund,14,11.85,0.501,46.666,6991.0,0,22
Mirae Asset Mutual Fund,18,11.354,0.401,45.531,107063.0,0,23
Motilal Oswal Mutual Fund,16,12.582,0.562,43.904,24373.0,1,24
Navi Mutual Fund,8,14.094,0.421,55.212,717.0,0,25
Nippon India Mutual Fund,39,11.414,0.763,42.687,204320.0,1,26
PGIM India Mutual Fund,18,9.442,0.474,39.741,17670.0,1,27
PPFAS Mutual Fund,3,14.587,0.573,56.403,32556.0,2,28
Quant Mutual Fund,11,24.458,0.562,79.196,17106.0,9,29
Quantum Mutual Fund,7,10.349,0.573,38.204,1885.0,0,30
SBI Mutual Fund,48,12.931,0.882,44.926,397745.0,5,31
Shriram Mutual Fund,4,10.7,0.625,40.933,200.0,0,32
Sundaram Mutual Fund,42,13.032,0.847,48.133,41991.0,9,33
Tata Mutual Fund,34,12.52,0.631,45.892,91078.0,1,34
Taurus Mutual Fund,8,12.817,1.531,34.891,496.41,0,35
Trust Mutual Fund,3,11.333,0.18,48.923,644.0,0,36
UTI Mutual Fund,37,9.954,0.879,36.467,153056.0,0,37
Union Mutual Fund,16,11.079,0.988,37.682,8233.0,0,38
WhiteOak Capital Mutual Fund,3,10.233,0.27,39.647,352.0,0,39
