fund_id,scheme_name,amc_name,category,sub_category,risk_level,risk_cluster_label,cluster,rating,fund_manager,returns_1yr,returns_3yr,returns_5yr,composite_return,net_return,expense_ratio,sharpe,alpha,beta,std_dev,rari,fund_size_cr,fund_size_category,min_sip,min_lumpsum,investment_score,return_consistency,rank_by_score,rank_by_return,rank_by_sharpe,is_top50
1,Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,Aditya Birla Sun Life Mutual Fund,Other,FoFs Domestic,3,⭐ High Return / Low Risk,1,3,Kaustubh Gupta,4.0,6.5,6.9,6.180000000000001,5.91,0.27,0.24,2.24,0.01,9.39,0.65814696485623,10.0,Small (<500 Cr),100,100,27.72,71.92170966641258,722,666,765,False
2,Aditya Birla SL Arbitrage Fund,Aditya Birla Sun Life Mutual Fund,Hybrid,Arbitrage Mutual Funds,1,⭐ High Return / Low Risk,1,3,Lovelish Solanki,5.6,4.8,5.5,5.275,4.915,0.36,1.1,1.53,0.56,0.72,7.326388888888889,4288.0,Mid (500–5K Cr),1000,1000,31.86,73.0574431366087,611,748,524,False
3,Aditya Birla SL Asset Allocator FoF-Dir Growth,Aditya Birla Sun Life Mutual Fund,Other,FoFs Domestic,5,📈 High Return / Moderate Risk,0,3,Vinod Narayan Bhat,2.0,18.9,9.7,11.38,10.85,0.53,1.42,2.67,0.67,10.58,1.0756143667296785,157.0,Small (<500 Cr),1000,1000,46.77,65.03224563039775,269,398,290,False
4,Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,Aditya Birla Sun Life Mutual Fund,Solution Oriented,Childrens Funds,6,📈 High Return / Moderate Risk,0,2,Atul Penkar,-0.7,17.1,8.9,9.85,9.090000000000002,0.76,0.9,-6.37,0.85,14.99,0.6571047364909941,637.0,Mid (500–5K Cr),500,1000,27.18,64.58416172643992,734,458,626,False
5,Aditya Birla SL Balanced Advantage Fund,Aditya Birla Sun Life Mutual Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,📈 High Return / Moderate Risk,0,4,Mohit Sharma,4.5,18.6,9.7,11.775,11.165,0.61,1.39,1.99,0.68,10.38,1.134393063583815,6386.0,Large (5K–20K Cr),100,100,45.55,66.36288189983975,294,370,318,False
6,Aditya Birla SL Banking&Financial Services-DirGrowth,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,📈 High Return / Moderate Risk,0,2,Dhaval Gala,5.3,24.6,9.2,13.81,12.64,1.17,0.97,1.24,0.96,25.53,0.5409322365844105,2384.0,Mid (500–5K Cr),1000,1000,42.4,63.28826892859998,340,273,588,False
7,Aditya Birla SL Banking&PSU Debt Fund,Aditya Birla Sun Life Mutual Fund,Debt,Banking and PSU Mutual Funds,3,⭐ High Return / Low Risk,1,4,Kaustubh Gupta,4.5,6.8,7.3,6.565,6.194999999999999,0.37,1.09,4.46,1.78,1.91,3.4371727748691097,7994.0,Large (5K–20K Cr),1000,1000,34.64,72.00001457865595,520,590,529,False
8,Aditya Birla SL CEF – Global Agri Plan-Direct Growth,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,📈 High Return / Moderate Risk,0,0,Vinod Narayan Bhat,-10.3,29.4,9.3,12.415,11.125,1.29,1.06,1.855,0.86,20.18,0.615213082259663,15.0,Small (<500 Cr),1000,1000,35.35,53.642808268797566,495,347,543,False
9,Aditya Birla SL Corporate Bond Fund,Aditya Birla Sun Life Mutual Fund,Debt,Corporate Bond Mutual Funds,2,⭐ High Return / Low Risk,1,4,Kaustubh Gupta,4.9,7.1,7.4,6.795,6.485,0.31,1.35,2.38,0.78,1.93,3.5207253886010363,12120.0,Large (5K–20K Cr),100,100,36.49,72.12829334899988,465,569,353,False
10,Aditya Birla SL Credit Risk Fund,Aditya Birla Sun Life Mutual Fund,Debt,Credit Risk Funds,4,⭐ High Return / Low Risk,1,4,Sunaina da Cunha,8.7,9.0,7.2,8.129999999999999,7.439999999999999,0.69,1.47,3.01,-0.95,2.9,2.8034482758620687,1032.0,Mid (500–5K Cr),100,100,35.88,72.52896795486346,481,503,248,False
11,Aditya Birla SL Digital India Fund,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,📈 High Return / Moderate Risk,0,0,Kunal Sangoi,-14.6,39.8,21.1,20.505,19.625,0.88,1.53,9.37,0.83,21.12,0.9708806818181818,3338.0,Mid (500–5K Cr),100,1000,56.21,45.85416999491311,135,45,207,False
12,Aditya Birla SL Dividend Yield Fund,Aditya Birla Sun Life Mutual Fund,Equity,Dividend Yield Funds,6,📈 High Return / Moderate Risk,0,0,Dhaval Gala,6.2,30.5,10.0,16.415,14.685,1.73,1.58,5.04,0.85,15.77,1.0409004438807865,850.0,Mid (500–5K Cr),1000,1000,48.97,60.4218628254605,233,158,175,False
13,Aditya Birla SL Dynamic Bond Fund,Aditya Birla Sun Life Mutual Fund,Debt,Dynamic Bond,3,⭐ High Return / Low Risk,1,5,Mohit Sharma,7.5,8.0,6.0,7.0,6.36,0.64,1.02,3.02,0.91,3.22,2.1739130434782608,1795.0,Mid (500–5K Cr),1000,1000,31.51,72.45250003122969,622,551,559,False
14,Aditya Birla SL Equity Advantage Fund,Aditya Birla Sun Life Mutual Fund,Equity,Large & Mid Cap Funds,6,📈 High Return / Moderate Risk,0,1,Atul Penkar,-9.9,22.3,7.9,9.38,8.239999999999998,1.14,1.16,-2.06,0.98,17.61,0.5326519023282226,4836.0,Mid (500–5K Cr),1000,1000,29.37,57.36344359137473,681,467,500,False
15,Aditya Birla SL Equity Hybrid ’95 Fund,Aditya Birla Sun Life Mutual Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,📈 High Return / Moderate Risk,0,2,Mahesh Patil,-5.7,20.4,7.7,9.464999999999998,8.454999999999998,1.01,1.33,1.43,0.85,12.84,0.7371495327102803,7046.0,Large (5K–20K Cr),100,100,31.71,60.44176862920106,615,464,365,False
16,Aditya Birla SL Equity Savings Fund,Aditya Birla Sun Life Mutual Fund,Hybrid,Equity Savings Mutual Funds,4,⭐ High Return / Low Risk,1,2,Dhaval Shah,0.8,11.7,6.9,7.36,6.15,1.21,1.2,1.11,0.99,6.83,1.0775988286969254,451.0,Small (<500 Cr),1000,1000,28.37,68.03042782097299,709,527,482,False
17,Aditya Birla SL Flexi Cap Fund,Aditya Birla Sun Life Mutual Fund,Equity,Flexi Cap Funds,6,📈 High Return / Moderate Risk,0,3,Anil Shah,-2.1,25.0,10.4,13.010000000000002,12.150000000000002,0.86,1.27,-1.46,0.96,16.6,0.7837349397590362,15449.0,Large (5K–20K Cr),100,100,36.87,59.92977892446103,454,318,442,False
18,Aditya Birla SL Floating Rate Fund,Aditya Birla Sun Life Mutual Fund,Debt,Floater Mutual Funds,2,⭐ High Return / Low Risk,1,5,Kaustubh Gupta,5.8,6.4,6.8,6.459999999999999,6.229999999999999,0.23,1.66,3.73,1.37,1.14,5.666666666666666,12364.0,Large (5K–20K Cr),1000,1000,39.81,72.99001073527805,392,609,141,False
19,Aditya Birla SL Focused Equity Fund,Aditya Birla Sun Life Mutual Fund,Equity,Focused Funds,6,📈 High Return / Moderate Risk,0,3,Mahesh Patil,-0.7,24.0,10.7,13.074999999999998,12.014999999999995,1.06,1.26,-1.14,0.95,16.09,0.8126165320074579,5633.0,Large (5K–20K Cr),1000,1000,34.69,61.13115954353211,515,312,452,False
20,Aditya Birla SL FP FoF – Aggressive – Direct Growth,Aditya Birla Sun Life Mutual Fund,Other,FoFs Domestic,6,📈 High Return / Moderate Risk,0,3,Vinod Narayan Bhat,2.5,21.7,10.7,12.909999999999998,12.689999999999998,0.22,1.4,1.65,0.8,11.73,1.1005967604433076,159.0,Small (<500 Cr),100,100,52.93,63.85936534711965,183,325,304,False
21,Aditya Birla SL FP FoF – Conservative – Direct Growth,Aditya Birla Sun Life Mutual Fund,Other,FoFs Domestic,4,⭐ High Return / Low Risk,1,4,Vinod Narayan Bhat,4.7,13.3,8.2,9.285,8.945,0.34,1.57,1.94,0.36,5.49,1.6912568306010929,14.0,Small (<500 Cr),100,100,43.68,69.16859797164024,315,469,184,False
22,Aditya Birla SL FP FoF – Moderate – Direct Growth,Aditya Birla Sun Life Mutual Fund,Other,FoFs Domestic,5,📈 High Return / Moderate Risk,0,3,Vinod Narayan Bhat,3.7,17.3,9.4,11.025,10.665,0.36,1.44,1.69,0.58,8.56,1.2879672897196262,28.0,Small (<500 Cr),100,100,46.85,66.66374055898221,267,418,272,False
23,Aditya Birla SL Frontline Equity Fund,Aditya Birla Sun Life Mutual Fund,Equity,Large Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,3,Mahesh Patil,1.6,26.3,10.6,14.295,13.265,1.03,1.39,0.76,0.95,16.02,0.8923220973782772,21131.0,Giant (>20K Cr),100,100,48.24,60.99279970900672,249,254,318,False
24,Aditya Birla SL Global Emerging Oppt Fund,Aditya Birla Sun Life Mutual Fund,Other,FoFs Overseas,6,📈 High Return / Moderate Risk,0,0,Vinod Narayan Bhat,-5.7,18.8,8.3,9.175,8.475000000000001,0.7,0.7,1.855,0.86,16.64,0.5513822115384616,261.0,Small (<500 Cr),100,100,30.02,61.2017369859679,661,476,680,False
25,Aditya Birla SL Gold Fund,Aditya Birla Sun Life Mutual Fund,Other,FoFs Domestic,5,📈 High Return / Moderate Risk,0,2,Lovelish Solanki,11.8,12.1,13.2,12.535,12.385,0.15,0.45,-0.57,0.97,13.89,0.902447804175666,278.0,Small (<500 Cr),100,100,39.03,72.75622155137955,407,343,729,False
26,Aditya Birla SL Govt Securities Fund,Aditya Birla Sun Life Mutual Fund,Debt,Gilt Mutual Funds,3,⭐ High Return / Low Risk,1,3,Bhupesh Bameta,3.6,6.0,8.0,6.42,6.13,0.29,0.57,1.09,0.73,3.35,1.9164179104477608,1351.0,Mid (500–5K Cr),1000,1000,29.35,71.29030481204832,682,629,706,False
27,Aditya Birla SL Income Fund,Aditya Birla Sun Life Mutual Fund,Debt,Medium to Long Duration Funds,3,⭐ High Return / Low Risk,1,4,Bhupesh Bameta,3.5,7.1,7.7,6.65,6.16,0.49,0.64,1.69,1.51,3.29,2.021276595744681,1496.0,Mid (500–5K Cr),1000,5000,28.97,71.22176969264265,692,584,691,False
28,Aditya Birla SL India GenNext Fund,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,📈 High Return / Moderate Risk,0,3,Chanchal Khandelwal,4.6,25.0,13.3,15.655,14.835,0.82,1.43,3.33,0.79,14.93,1.0485599464166109,3217.0,Mid (500–5K Cr),1000,1000,52.33,63.25663434437439,188,185,280,False
29,Aditya Birla SL Infrastructure Fund,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,📈 High Return / Moderate Risk,0,2,Mahesh Patil,13.5,35.6,9.2,19.3,17.6,1.7,1.4,4.38,0.85,22.52,0.8570159857904086,562.0,Mid (500–5K Cr),1000,1000,54.06,59.3284704007311,170,76,304,False
30,Aditya Birla SL Inter Equity – Plan A-Direct Growth,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,📈 High Return / Moderate Risk,0,0,Vinod Narayan Bhat,0.9,17.7,10.4,11.055,9.305,1.75,0.81,1.855,0.86,13.99,0.7902072909220872,108.0,Small (<500 Cr),1000,1000,27.94,65.06935930514112,716,417,657,False
31,Aditya Birla SL Inter Equity – Plan B-Direct Growth,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,📈 High Return / Moderate Risk,0,0,Vinod Narayan Bhat,-4.1,22.7,7.6,10.544999999999998,8.394999999999998,2.15,1.14,-1.93,0.87,16.3,0.6469325153374231,90.0,Small (<500 Cr),1000,1000,23.73,60.0574358397316,770,433,508,False
32,Aditya Birla SL Liquid Fund,Aditya Birla Sun Life Mutual Fund,Debt,Liquid Mutual Funds,3,⭐ High Return / Low Risk,1,4,Kaustubh Gupta,5.7,4.4,5.4,5.11,4.9,0.21,1.06,1.49,0.8,0.39,13.102564102564102,28071.0,Giant (>20K Cr),500,500,34.31,72.81264710240735,531,762,543,False
33,Aditya Birla SL Low Duration Fund,Aditya Birla Sun Life Mutual Fund,Debt,Low Duration Funds,3,⭐ High Return / Low Risk,1,4,Mohit Sharma,5.7,6.5,7.0,6.565,6.175,0.39,2.05,3.33,1.0,0.97,6.768041237113402,10035.0,Large (5K–20K Cr),100,100,40.95,72.83758917853255,365,590,23,False
34,Aditya Birla SL Manufacturing Equity Fund,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,📈 High Return / Moderate Risk,0,0,Anil Shah,-2.9,21.7,6.8,10.075,8.514999999999999,1.56,1.18,-1.7,0.83,15.05,0.6694352159468437,613.0,Mid (500–5K Cr),1000,1000,26.18,61.10207266999328,745,453,492,False
35,Aditya Birla SL Medium Term Plan – Direct Growth,Aditya Birla Sun Life Mutual Fund,Debt,Medium Duration Funds,4,📈 High Return / Moderate Risk,0,5,Sunaina da Cunha,22.1,14.5,8.6,13.365000000000002,12.505000000000004,0.86,0.93,9.65,1.12,10.73,1.245573159366263,1652.0,Mid (500–5K Cr),1000,1000,41.93,66.72551703661618,346,293,611,False
